Código,Marca,Modelo
10001,ACURA,INTEGRA LS SM
10002,ACURA,INTEGRA RS SM COUPE
10003,ACURA,INTEGRA RS SM
10004,ACURA,INTEGRA SE
10005,ACURA,LEGEND GS
10006,ACURA,LEGEND L COUPE
10007,ACURA,LEGEND LS COUPE
10008,ACURA,NSX
20001,ALEKO,2141 D
20002,ALEKO,2141 D FULL
20003,ALEKO,2141 FULL
20004,ALEKO,2335 D PICK UP
20005,ALEKO,2141
30001,ALFA ROMEO,SPIDER 3.0 V6 TCE
30002,ALFA ROMEO,GTV 2.5 V6
30003,ALFA ROMEO,33 1.7 8V
30004,ALFA ROMEO,33 1.4 IMOLA
30005,ALFA ROMEO,75 1.6
30007,ALFA ROMEO,145 1.7
30008,ALFA ROMEO,155 2.0 TS
30009,ALFA ROMEO,155 2.5 V6
30010,ALFA ROMEO,155 2.0 QUADRIFOGLIO
30011,ALFA ROMEO,164 3.0 V6 24V
30012,ALFA ROMEO,164 3.0 V6 QUADRIFOGLIO
30013,ALFA ROMEO,164 2.0 TS
30015,ALFA ROMEO,33 1.7 16V
30016,ALFA ROMEO,33 1.7 QUADRIFOGLIO
30017,ALFA ROMEO,75 2.0
30018,ALFA ROMEO,155 1.7 TS
30019,ALFA ROMEO,33 1.7 SPORT WAGON
30020,ALFA ROMEO,ALFETA 2.0
30021,ALFA ROMEO,ALFETA 1.6 GT
30022,ALFA ROMEO,ALFETA 2.0 GTV
30023,ALFA ROMEO,ALFETA 2.5 GTV GC
30024,ALFA ROMEO,ALFETA 1.5 SPT VE
30025,ALFA ROMEO,ALFETA 1.3 SUPER
30026,ALFA ROMEO,GIULIETTA 2000
30027,ALFA ROMEO,GIULIETTA 1.6
30028,ALFA ROMEO,145 1.4
30029,ALFA ROMEO,155 1.8 TS
30030,ALFA ROMEO,164 2.5 TD
30031,ALFA ROMEO,145 2.0 TD
30032,ALFA ROMEO,145 2.0 TD FULL
30033,ALFA ROMEO,145 2.0 QUADRIFOGLIO
30034,ALFA ROMEO,145 2.0 QUADRIFOGLIO FULL
30035,ALFA ROMEO,146 2.0 TD
30036,ALFA ROMEO,146 2.0 TD FULL
30037,ALFA ROMEO,146 2.0 TI
30038,ALFA ROMEO,146 2.0 TI FULL
30039,ALFA ROMEO,155 2.0 SUPER
30040,ALFA ROMEO,164 3.0 V6 12V
30041,ALFA ROMEO,164 3.0 V6 24V SUPER
30043,ALFA ROMEO,145 1.6
30044,ALFA ROMEO,155 2.0 SUPER FULL
30045,ALFA ROMEO,164 3.0 V6 12V FULL
30046,ALFA ROMEO,SPIDER 2.0
30047,ALFA ROMEO,33 1.5
30048,ALFA ROMEO,33 1.3
30049,ALFA ROMEO,ALFASUD 1350
30050,ALFA ROMEO,ZAGATO 2.9
30051,ALFA ROMEO,33 1.7 SPORT WAGON QUADRIFOGLIO
30052,ALFA ROMEO,155 2.0 TD
30053,ALFA ROMEO,RIO 2300
30054,ALFA ROMEO,GTV 1600
30055,ALFA ROMEO,145 1.8 TS
30056,ALFA ROMEO,145 1.8 TS FULL
30057,ALFA ROMEO,146 1.8 TS
30058,ALFA ROMEO,146 1.8 TS FULL
30059,ALFA ROMEO,GTV 3.0 V6 24V
30060,ALFA ROMEO,156 2.0 TS
30061,ALFA ROMEO,156 2.0 TS TC CU
30062,ALFA ROMEO,156 2.0 TS TC CU KIT SPORT
30063,ALFA ROMEO,156 2.4 JTD
30064,ALFA ROMEO,156 2.4 JTD TC
30065,ALFA ROMEO,SPIDER 3.0 V6
30066,ALFA ROMEO,75 TD
30067,ALFA ROMEO,164 3.0 V6 L
30068,ALFA ROMEO,164 2.0 V6 TURBO
30069,ALFA ROMEO,166 3.0 V6 24V
30070,ALFA ROMEO,166 3.0 V6 24V AUT SPORTRONIC
30071,ALFA ROMEO,156 2.5 V6
30072,ALFA ROMEO,156 2.5 V6 AUT SPORTRONIC
30073,ALFA ROMEO,156 2.5 V6 KIT SPORT
30074,ALFA ROMEO,145 1.9 JTD
30075,ALFA ROMEO,146 1.9 JTD
30076,ALFA ROMEO,146 1.9 JTD TC
30078,ALFA ROMEO,75 2.5 V6
30079,ALFA ROMEO,156 2.0 TS SPORTWAGON
30080,ALFA ROMEO,156 2.5 V6 SPORTWAGON
30081,ALFA ROMEO,156 2.4 JTD SPORTWAGON
30082,ALFA ROMEO,147 2.0 TS 5 PTAS
30083,ALFA ROMEO,147 1.9 JTD 5 PTAS
30084,ALFA ROMEO,147 1.9 JTD 5 PTAS TC CU
30085,ALFA ROMEO,147 2.0 TS 5 PTAS TC CU
30086,ALFA ROMEO,147 2.0 TS 5 PTAS SELESPEED
30087,ALFA ROMEO,146 1.6 TS
30088,ALFA ROMEO,156 2.0 TS FASE III CU.
30089,ALFA ROMEO,156 2.0 TS FASE III CU. SELESPEED
30090,ALFA ROMEO,156 2.5 V6 FASE III
30091,ALFA ROMEO,GT 3.2 JTS DISTINCTIVE
30092,ALFA ROMEO,147 1.6 TS 3 PTAS PROGRESSION
30093,ALFA ROMEO,159 2.2 JTS PROGRESSION
30094,ALFA ROMEO,159 1.9 JTD PROGRESSION
30095,ALFA ROMEO,159 3.2 JTS HIGHT 4X4 ELEGANTE AUT
30096,ALFA ROMEO,GT 1.9 JTD DISTINCTIVE
30097,ALFA ROMEO,BRERA 2.2 JTS SKY VIEW
30098,ALFA ROMEO,BRERA 3.2 MD 4X4 AUT.
30099,ALFA ROMEO,SPIDER 2.2 JTS MEDIUM
30100,ALFA ROMEO,SPIDER 3.2 JTS MEDIUM
30101,ALFA ROMEO,147 2.0 TS 5 PTAS DISTINCTIVE
30102,ALFA ROMEO,147 1.6 TS 5 PTAS PROGRESSION
30103,ALFA ROMEO,147 2.0 TS 5 PTAS DISTINCTIVE SS
30104,ALFA ROMEO,147 1.9 JTDM 5 PTAS DISTINCTIVE
30105,ALFA ROMEO,159 2.2 JTS PROGRESSION PACK STILE
30106,ALFA ROMEO,MITO 1.4 T MOVE
30107,ALFA ROMEO,159 1.8 TS PROGRESSION
30108,ALFA ROMEO,159 2.2 JTS SELEESPEED DISTINCTIVE
30109,ALFA ROMEO,GT 2.0 JTS
30110,ALFA ROMEO,GT 2.0 JTS SS
30111,ALFA ROMEO,BRERA 2.2 JTS SELEESPEED
30112,ALFA ROMEO,SPIDER 2.2 JTS 189CV SELEESPEED
30113,ALFA ROMEO,147 2.0 TS 3 PTAS DISTINCTIVE
30114,ALFA ROMEO,147 1.6 TS 5 PTAS DISTINCTIVE
30115,ALFA ROMEO,MITO 1.4 TBI SPORT
30116,ALFA ROMEO,MITO 1.4 T PROGRESSION
30117,ALFA ROMEO,MITO 1.4 DDCT SPORT AUT
30118,ALFA ROMEO,MITO 1.4 DDCT SPORT AUT TC
30119,ALFA ROMEO,MITO 1.4 TBI SPORT TC
30120,ALFA ROMEO,159 1.8 TBI DISTINCTIVE 200 CV
30121,ALFA ROMEO,GIULIETTA 1.4 DISTINCT 170CV
30122,ALFA ROMEO,GIULIETTA 1.4 DISTINCT 120CV
